site,rep,distance ,station,transect,dist_stat,plant_no,pot_ no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,mean_count_pot,SD_count_pot,mat,mah,minws,mws,maxws,mwd,precip,ptype,mdp,mrain
pbc,1,10 m,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,10 m,4,10,10m_4,5,15,1,0,1,0,0,0.4,0.547722558,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,10 m,4,10,10m_4,5,16,6,3,2,3,2,3.2,1.643167673,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,1,1,25m_1,5,17,3,0,1,0,0,0.8,1.303840481,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,1,1,25m_1,5,18,1,1,2,2,0,1.2,0.836660027,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,2,2,25m_2,5,19,0,3,6,0,0,1.8,2.683281573,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,2,2,25m_2,5,20,5,0,0,0,1,1.2,2.167948339,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,3,3,25m_3,5,21,0,0,0,0,0,0,0,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,3,3,25m_3,5,22,0,0,0,1,2,0.6,0.894427191,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,4,4,25m_4,5,23,2,2,0,0,0,0.8,1.095445115,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,4,4,25m_4,5,24,0,2,1,1,0,0.8,0.836660027,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,5,5,25m_5,5,25,2,1,0,0,0,0.6,0.894427191,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,5,5,25m_5,5,26,2,0,1,0,0,0.6,0.894427191,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,25 m,6,6,25m_6,5,27,1,0,0,3,0,0.8,1.303840481,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
