site,rep,mws,ws_sd,mwd,sum_rain
Curyo,1,3.577163323782235,2.2302099610519024,353.5045247048683,0.8
Horsham dryland,1,3.0853868194842407,1.9379332461690681,311.02014694722845,4.6000000000000005
Horsham dryland,2,3.9961272217025257,2.7133594733723636,332.3283466231283,18.6
Horsham irrigated,1,1.9028275862068964,0.9050266290191227,234.6541540167655,0
Horsham irrigated,2,2.233103448275862,1.2895000739096627,272.7072024283172,0
Horsham irrigated,3,6.531586206896551,2.1241261850013595,333.6699029653639,0.6000000000000001
