SpEv,site,rep,distance,station,transect,dist_stat,plant_no,pot_no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,degrees,mean_pot_count
Horsham Rain 2,Horsham,2,25,4,4,25m_4,5,23,0,0,0,1,0,75,0.2
Horsham Rain 2,Horsham,2,25,5,5,25m_5,5,25,0,0,2,1,1,85,0.8
Horsham Rain 2,Horsham,2,25,5,5,25m_5,5,26,0,2,0,0,0,85,0.4
Horsham Rain 2,Horsham,2,50,2,2,50m_2,3,38,0,1,0,NA,NA,55,0.3333333333333333
Horsham Rain 2,Horsham,2,50,4,4,50m_4,3,40,0,1,0,NA,NA,75,0.3333333333333333
Horsham Rain 2,Horsham,2,75,3,3,75m_3,3,49,0,0,1,NA,NA,65,0.3333333333333333
Horsham Rain 2,Horsham,2,75,4,4,75m_4,3,50,0,0,1,NA,NA,75,0.3333333333333333
Horsham Rain 2,Horsham,2,75,10,10,75m_10,3,56,0,1,0,NA,NA,135,0.3333333333333333
Curyo Rain 1,Curyo,1,0,2,4,0m_2,5,3,0,2,3,1,2,320,1.6
Curyo Rain 1,Curyo,1,0,3,7,0m_3,5,5,0,0,4,1,1,350,1.2
Curyo Rain 1,Curyo,1,10,1,1,10m_1,5,9,0,3,0,1,1,290,1
Curyo Rain 1,Curyo,1,10,2,4,10m_2,5,11,0,0,0,0,0,320,0
Curyo Rain 1,Curyo,1,10,2,4,10m_2,5,12,0,0,0,2,NA,320,0.5
Curyo Rain 1,Curyo,1,10,4,10,10m_4,5,16,0,0,2,0,1,20,0.6
Curyo Rain 1,Curyo,1,25,3,3,25m_3,5,22,0,1,1,0,NA,310,0.5
Curyo Rain 1,Curyo,1,25,5,5,25m_5,5,25,0,1,0,0,0,330,0.2
Curyo Rain 1,Curyo,1,25,5,5,25m_5,5,26,0,0,0,1,2,330,0.6
Curyo Rain 1,Curyo,1,25,6,6,25m_6,5,27,0,2,0,0,2,340,0.8
Curyo Rain 1,Curyo,1,25,6,6,25m_6,5,28,0,0,0,1,0,340,0.2
Curyo Rain 1,Curyo,1,25,7,7,25m_7,5,30,0,0,0,0,0,350,0
Curyo Rain 1,Curyo,1,25,8,8,25m_8,5,31,0,2,2,0,1,360,1
Curyo Rain 1,Curyo,1,25,10,10,25m_10,5,35,0,0,2,0,1,20,0.6
Curyo Rain 1,Curyo,1,25,10,10,25m_10,5,36,0,1,0,NA,NA,20,0.3333333333333333
Curyo Rain 1,Curyo,1,50,1,1,50m_1,3,37,0,4,1,NA,NA,290,1.6666666666666667
Curyo Rain 1,Curyo,1,50,2,2,50m_2,3,38,0,0,0,NA,NA,300,0
Curyo Rain 1,Curyo,1,50,6,6,50m_6,3,42,0,0,0,NA,NA,340,0
Curyo Rain 1,Curyo,1,50,7,7,50m_7,3,43,0,1,2,NA,NA,350,1
Curyo Rain 1,Curyo,1,50,8,8,50m_8,3,44,0,0,1,NA,NA,360,0.3333333333333333
Curyo Rain 1,Curyo,1,50,9,9,50m_9,3,45,0,0,0,NA,NA,10,0
Curyo Rain 1,Curyo,1,50,10,10,50m_10,3,46,0,0,1,NA,NA,20,0.3333333333333333
Curyo Rain 1,Curyo,1,75,1,1,75m_1,3,47,0,1,1,NA,NA,290,0.6666666666666666
Curyo Rain 1,Curyo,1,75,3,3,75m_3,3,49,0,0,1,NA,NA,310,0.3333333333333333
Curyo Rain 1,Curyo,1,75,4,4,75m_4,3,50,0,0,0,NA,NA,320,0
Curyo Rain 1,Curyo,1,75,5,5,75m_5,3,51,0,0,0,NA,NA,330,0
