site,rep,distance,station,transect,dist_stat,plant_no,pot_no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5
Horsham SPA,1,0 m,1,1,0m_1,5,2,0,3,1,2,0
Horsham SPA,1,0 m,2,4,0m_2,5,3,1,2,0,0,0
Horsham SPA,1,0 m,2,4,0m_2,5,4,0,0,4,4,3
Horsham SPA,1,0 m,3,7,0m_3,5,5,0,1,1,1,1
Horsham SPA,1,0 m,3,7,0m_3,5,6,0,2,3,1,NA
Horsham SPA,1,0 m,4,10,0m_4,5,7,0,3,0,0,2
Horsham SPA,1,0 m,4,10,0m_4,5,8,1,0,3,2,2
Horsham SPA,1,10 m,1,1,10m_1,5,9,0,1,4,1,1
Horsham SPA,1,10 m,1,1,10m_1,5,10,1,0,4,1,3
Horsham SPA,1,10 m,2,4,10m_2,5,11,1,0,2,0,1
Horsham SPA,1,10 m,2,4,10m_2,5,12,0,2,0,2,0
Horsham SPA,1,10 m,3,7,10m_3,5,13,0,1,0,0,0
Horsham SPA,1,10 m,3,7,10m_3,5,14,1,0,2,1,1
Horsham SPA,1,10 m,4,10,10m_4,5,15,1,0,0,2,1
Horsham SPA,1,10 m,4,10,10m_4,5,16,1,0,2,0,0
Horsham SPA,1,25 m,1,1,25m_1,5,17,0,0,2,0,0
Horsham SPA,1,25 m,1,1,25m_1,5,18,0,1,2,0,1
Horsham SPA,1,25 m,2,2,25m_2,5,19,1,2,1,1,1
Horsham SPA,1,25 m,2,2,25m_2,5,20,1,0,0,1,0
Horsham SPA,1,25 m,3,3,25m_3,5,21,0,1,0,1,0
Horsham SPA,1,25 m,3,3,25m_3,5,22,1,0,0,0,2
Horsham SPA,1,25 m,4,4,25m_4,5,23,1,0,0,2,0
Horsham SPA,1,25 m,4,4,25m_4,5,24,0,1,0,1,1
Horsham SPA,1,25 m,5,5,25m_5,5,25,1,0,0,0,0
Horsham SPA,1,25 m,5,5,25m_5,5,26,2,1,1,0,0
